winner,rounds
,0
player2,50
player1,40
player2,50
player1,67
player1,56
player2,49
player1,66
player1,84
player1,73
player2,66
player1,58
player1,59
player2,67
player1,52
player1,59
player2,52
player1,88
player2,56
player1,87
player2,61
player2,66
player2,63
player1,62
player1,61
player2,56
player1,65
player1,69
player1,63
player2,45
player1,57
player2,57
player2,57
player1,57
player1,65
player2,60
player1,78
player1,60
player1,55
player1,62
player2,45
player1,58
player2,49
player2,71
player1,52
player1,62
player2,71
player1,89
player1,63
player1,64
player2,74
player2,62
player2,51
player2,52
player1,57
player2,62
player2,55
player1,72
player1,84
player2,60
player2,61
player2,70
player1,53
player1,58
player2,63
player1,69
player1,86
player2,62
player2,53
player1,70
player1,72
player1,62
player2,71
player1,53
player1,64
player1,69
player1,70
player1,61
player1,50
player1,63
player1,64
player2,77
player1,67
player2,59
player2,82
player1,54
player1,86
player1,48
player2,56
player1,37
player1,81
player1,47
player1,54
player1,52
player2,52
player1,69
player1,64
player2,60
player2,46
player1,62
player1,59
player1,63
player2,83
player2,59
player1,37
player2,60
player1,50
player2,63
player2,60
player2,38
player2,49
player1,64
player2,61
player2,75
player2,51
player2,56
player1,61
player2,50
player2,49
player2,64
player2,64
player2,64
player2,69
player1,61
player1,61
player2,51
player2,50
player2,61
player2,53
player2,56
player2,48
player1,68
player2,70
player2,59
player1,61
player1,52
player1,69
player1,60
player2,49
player2,61
player1,80
player1,66
player2,51
player1,53
player2,63
player2,57
player1,53
player2,39
player2,58
player2,55
player1,62
player2,62
player1,56
player1,83
player1,51
player1,62
player2,52
player2,50
player2,63
player1,34
player2,55
player2,50
player1,64
player2,69
player2,40
player1,48
player1,78
player1,48
player2,64
player2,59
player2,53
player1,50
player1,60
player2,37
player2,66
player1,79
player1,55
player2,49
player1,40
player2,52
player1,54
player2,57
player2,57
player2,59
player1,67
player1,60
player2,52
player1,66
player2,75
player1,57
player1,67
player1,62
player2,55
player2,75
player2,62
player2,88
player1,70
player2,52
player2,50
player1,59
player2,83
player2,47
player2,59
player2,54
player1,61
player1,58
player1,79
player1,42
player2,47
player1,64
player2,51
player2,55
player2,50
player2,57
player2,45
player2,52
player1,52
player1,69
player1,42
player1,53
player1,46
player2,59
player1,93
player2,73
player2,51
player2,50
player2,62
player1,52
player2,63
player2,60
player1,59
player2,39
player1,86
player1,55
player1,51
player1,47
player2,65
player2,58
player1,76
player1,51
player2,44
player1,37
player2,68
player2,61
player2,57
player1,53
player2,69
player2,62
player1,56
player1,75
player1,55
player2,56
player1,51
player2,76
player2,61
player1,57
player1,46
player1,67
player1,58
player2,54
player1,82
player1,63
player1,48
player1,68
player1,70
player2,62
player1,84
player2,46
player1,93
player1,64
player1,63
player1,59
player1,51
player2,63
player2,58
player1,64
player2,70
player1,71
player1,85
player1,56
player2,57
player1,57
player2,53
player2,60
player2,35
player2,54
player2,62
player2,84
player1,63
player1,56
player1,53
player2,60
player2,68
player2,52
